Instance,cbo_sum,wmc_sum,dit_sum,rfc_sum,lcom_sum,totalMethods_sum,staticMethods_sum,publicMethods_sum,privateMethods_sum,protectedMethods_sum,defaultMethods_sum,abstractMethods_sum,finalMethods_sum,synchronizedMethods_sum,totalFields_sum,staticFields_sum,publicFields_sum,privateFields_sum,protectedFields_sum,defaultFields_sum,finalFields_sum,synchronizedFields_sum,nosi_sum,loc_sum,returnQty_sum,loopQty_sum,comparisonsQty_sum,tryCatchQty_sum,parenthesizedExpsQty_sum,stringLiteralsQty_sum,numbersQty_sum,assignmentsQty_sum,mathOperationsQty_sum,variablesQty_sum,maxNestedBlocks_sum,anonymousClassesQty_sum,subClassesQty_sum,lambdasQty_sum,uniqueWordsQty_sum,modifiers_sum,cbo_max,wmc_max,dit_max,rfc_max,lcom_max,totalMethods_max,staticMethods_max,publicMethods_max,privateMethods_max,protectedMethods_max,defaultMethods_max,abstractMethods_max,finalMethods_max,synchronizedMethods_max,totalFields_max,staticFields_max,publicFields_max,privateFields_max,protectedFields_max,defaultFields_max,finalFields_max,synchronizedFields_max,nosi_max,loc_max,returnQty_max,loopQty_max,comparisonsQty_max,tryCatchQty_max,parenthesizedExpsQty_max,stringLiteralsQty_max,numbersQty_max,assignmentsQty_max,mathOperationsQty_max,variablesQty_max,maxNestedBlocks_max,anonymousClassesQty_max,subClassesQty_max,lambdasQty_max,uniqueWordsQty_max,modifiers_max,cbo_std,wmc_std,dit_std,rfc_std,lcom_std,totalMethods_std,staticMethods_std,publicMethods_std,privateMethods_std,protectedMethods_std,defaultMethods_std,abstractMethods_std,finalMethods_std,synchronizedMethods_std,totalFields_std,staticFields_std,publicFields_std,privateFields_std,protectedFields_std,defaultFields_std,finalFields_std,synchronizedFields_std,nosi_std,loc_std,returnQty_std,loopQty_std,comparisonsQty_std,tryCatchQty_std,parenthesizedExpsQty_std,stringLiteralsQty_std,numbersQty_std,assignmentsQty_std,mathOperationsQty_std,variablesQty_std,maxNestedBlocks_std,anonymousClassesQty_std,subClassesQty_std,lambdasQty_std,uniqueWordsQty_std,modifiers_std,cbo_mean,wmc_mean,dit_mean,rfc_mean,lcom_mean,totalMethods_mean,staticMethods_mean,publicMethods_mean,privateMethods_mean,protectedMethods_mean,defaultMethods_mean,abstractMethods_mean,finalMethods_mean,synchronizedMethods_mean,totalFields_mean,staticFields_mean,publicFields_mean,privateFields_mean,protectedFields_mean,defaultFields_mean,finalFields_mean,synchronizedFields_mean,nosi_mean,loc_mean,returnQty_mean,loopQty_mean,comparisonsQty_mean,tryCatchQty_mean,parenthesizedExpsQty_mean,stringLiteralsQty_mean,numbersQty_mean,assignmentsQty_mean,mathOperationsQty_mean,variablesQty_mean,maxNestedBlocks_mean,anonymousClassesQty_mean,subClassesQty_mean,lambdasQty_mean,uniqueWordsQty_mean,modifiers_mean,Label
auth0-java-jwt,416,993,103,920,4941,822,52,693,30,2,0,2,0,0,139,58,18,109,0,0,92,0,1294,7824,162,16,36,16,20,1736,550,1865,120,1731,14,5,3,0,4402,3203,21,88,5,56,933,75,25,74,8,1,0,2,0,0,15,14,1,14,0,0,14,0,297,938,29,3,8,4,9,252,161,362,33,304,2,1,1,0,505,1025,416,993,103,920,4941,822,52,693,30,2,0,2,0,0,139,58,18,109,0,0,92,0,1294,7824,162,16,36,16,20,1736,550,1865,120,1731,14,5,3,0,4402,3203,21,88,5,56,933,75,25,74,8,1,0,2,0,0,15,14,1,14,0,0,14,0,297,938,29,3,8,4,9,252,161,362,33,304,2,1,1,0,505,1025,bunch
bumptech-glide,6518,7707,848,8432,19929,5158,479,3891,729,85,0,22,67,140,2116,572,120,1835,43,0,1161,0,2677,65814,2146,410,576,206,323,3548,5161,7336,1331,6204,431,310,326,0,42355,27602,119,146,20,138,2726,90,26,82,19,5,0,4,30,18,47,27,8,47,36,0,27,0,240,931,116,19,40,9,75,489,506,211,111,130,5,13,6,0,520,1025,6518,7707,848,8432,19929,5158,479,3891,729,85,0,22,67,140,2116,572,120,1835,43,0,1161,0,2677,65814,2146,410,576,206,323,3548,5161,7336,1331,6204,431,310,326,0,42355,27602,119,146,20,138,2726,90,26,82,19,5,0,4,30,18,47,27,8,47,36,0,27,0,240,931,116,19,40,9,75,489,506,211,111,130,5,13,6,0,520,1025,bunch
bytedeco-javacpp,595,4810,205,1825,11727,1492,183,1297,13,18,0,157,8,2,243,44,10,8,49,0,56,0,611,15333,1087,644,525,101,335,3984,2872,3851,2405,2117,141,19,7,0,6865,13383,56,1117,10,170,980,49,36,41,2,3,0,14,1,1,24,7,1,3,4,0,6,0,122,3314,63,137,180,30,122,1991,550,1211,437,434,7,2,5,0,592,1025,595,4810,205,1825,11727,1492,183,1297,13,18,0,157,8,2,243,44,10,8,49,0,56,0,611,15333,1087,644,525,101,335,3984,2872,3851,2405,2117,141,19,7,0,6865,13383,56,1117,10,170,980,49,36,41,2,3,0,14,1,1,24,7,1,3,4,0,6,0,122,3314,63,137,180,30,122,1991,550,1211,437,434,7,2,5,0,592,1025,bunch
cglib-cglib,1190,2411,435,2424,14327,1454,285,1109,154,103,0,44,4,2,533,338,79,420,16,0,344,0,824,15184,767,179,239,89,187,909,837,1993,257,1734,119,145,141,0,9987,31959,74,204,15,155,5149,107,41,98,27,11,0,6,1,1,49,49,37,49,3,0,49,0,87,1269,92,14,33,15,23,158,74,184,41,174,7,35,41,0,540,1025,1190,2411,435,2424,14327,1454,285,1109,154,103,0,44,4,2,533,338,79,420,16,0,344,0,824,15184,767,179,239,89,187,909,837,1993,257,1734,119,145,141,0,9987,31959,74,204,15,155,5149,107,41,98,27,11,0,6,1,1,49,49,37,49,3,0,49,0,87,1269,92,14,33,15,23,158,74,184,41,174,7,35,41,0,540,1025,agglomerative
codecentric-spring-boot-admin,1802,1276,298,3055,2195,1026,73,740,118,144,0,6,4,0,548,144,30,515,3,0,306,0,741,12625,538,14,13,16,24,2008,310,1280,112,1200,71,14,59,377,7740,11536,37,38,5,65,295,27,18,20,11,17,0,2,2,0,16,8,8,16,2,0,11,0,44,242,29,2,3,3,5,77,20,36,12,32,4,3,13,23,131,1025,1802,1276,298,3055,2195,1026,73,740,118,144,0,6,4,0,548,144,30,515,3,0,306,0,741,12625,538,14,13,16,24,2008,310,1280,112,1200,71,14,59,377,7740,11536,37,38,5,65,295,27,18,20,11,17,0,2,2,0,16,8,8,16,2,0,11,0,44,242,29,2,3,3,5,77,20,36,12,32,4,3,13,23,131,1025,bunch
coobird-thumbnailator,303,1392,104,946,34101,989,56,960,19,10,0,6,2,0,110,30,14,82,14,0,78,0,1731,14966,151,25,111,164,22,1789,2571,2399,93,2295,53,15,6,0,5986,6437,15,293,4,108,23643,255,19,254,5,3,0,4,2,0,15,5,5,12,3,0,15,0,848,3945,16,7,36,38,6,690,1074,862,19,857,4,6,8,0,480,1025,303,1392,104,946,34101,989,56,960,19,10,0,6,2,0,110,30,14,82,14,0,78,0,1731,14966,151,25,111,164,22,1789,2571,2399,93,2295,53,15,6,0,5986,6437,15,293,4,108,23643,255,19,254,5,3,0,4,2,0,15,5,5,12,3,0,15,0,848,3945,16,7,36,38,6,690,1074,862,19,857,4,6,8,0,480,1025,bunch
cryptomator-cryptomator,832,910,127,1646,1341,543,39,295,162,11,5,3,0,6,392,121,15,369,4,0,267,0,359,7037,311,21,50,74,8,683,200,796,56,825,75,4,32,87,4458,1144,61,77,4,149,178,36,7,31,25,3,3,3,0,2,34,12,9,34,4,0,20,0,32,466,28,3,7,6,2,46,21,53,7,55,4,1,7,10,202,1025,832,910,127,1646,1341,543,39,295,162,11,5,3,0,6,392,121,15,369,4,0,267,0,359,7037,311,21,50,74,8,683,200,796,56,825,75,4,32,87,4458,1144,61,77,4,149,178,36,7,31,25,3,3,3,0,2,34,12,9,34,4,0,20,0,32,466,28,3,7,6,2,46,21,53,7,55,4,1,7,10,202,1025,bunch
dropwizard-dropwizard,6869,5217,1336,9342,15928,4215,147,3587,197,295,3,21,9,12,1601,271,86,1435,48,0,899,0,3475,48621,1601,148,148,230,120,6081,3456,4561,388,4059,365,114,268,182,36606,33717,60,89,12,120,3126,85,8,84,8,14,2,6,2,2,38,10,7,38,11,0,13,0,1183,738,45,8,7,10,7,184,1214,101,31,101,6,4,7,9,310,1025,6869,5217,1336,9342,15928,4215,147,3587,197,295,3,21,9,12,1601,271,86,1435,48,0,899,0,3475,48621,1601,148,148,230,120,6081,3456,4561,388,4059,365,114,268,182,36606,33717,60,89,12,120,3126,85,8,84,8,14,2,6,2,2,38,10,7,38,11,0,13,0,1183,738,45,8,7,10,7,184,1214,101,31,101,6,4,7,9,310,1025,bunch
dropwizard-metrics,1529,1944,318,3212,2316,1364,74,1061,158,75,0,19,5,18,730,167,44,663,2,0,595,0,723,18541,453,144,72,84,72,2536,1838,1894,307,1754,149,161,93,0,11642,13561,24,71,8,71,585,40,10,40,14,10,0,8,4,7,25,14,11,22,2,0,15,0,33,540,31,17,10,5,12,190,134,56,18,56,7,20,15,0,200,1025,1529,1944,318,3212,2316,1364,74,1061,158,75,0,19,5,18,730,167,44,663,2,0,595,0,723,18541,453,144,72,84,72,2536,1838,1894,307,1754,149,161,93,0,11642,13561,24,71,8,71,585,40,10,40,14,10,0,8,4,7,25,14,11,22,2,0,15,0,33,540,31,17,10,5,12,190,134,56,18,56,7,20,15,0,200,1025,bunch
facebook-facebook-android-sdk,4621,7355,883,8307,26829,3688,996,2275,809,248,0,20,79,65,2730,1729,744,1839,9,0,1896,0,2953,57089,2241,350,793,320,322,3939,2082,8008,640,6855,470,462,241,0,32276,19934,69,240,10,191,3069,87,79,65,36,34,0,4,32,6,118,118,101,62,7,0,118,0,119,1386,94,21,35,20,28,150,125,195,63,169,7,17,15,0,627,1025,4621,7355,883,8307,26829,3688,996,2275,809,248,0,20,79,65,2730,1729,744,1839,9,0,1896,0,2953,57089,2241,350,793,320,322,3939,2082,8008,640,6855,470,462,241,0,32276,19934,69,240,10,191,3069,87,79,65,36,34,0,4,32,6,118,118,101,62,7,0,118,0,119,1386,94,21,35,20,28,150,125,195,63,169,7,17,15,0,627,1025,bunch
google-error-prone,11966,10918,2307,13747,47374,6808,1012,5371,713,126,0,263,93,2,1499,751,151,1131,14,0,1101,0,6065,103705,4212,565,804,376,614,22978,1646,6110,880,5310,736,478,905,224,62799,137469,223,269,15,252,10011,142,108,107,19,5,0,6,67,1,54,33,19,54,3,0,54,0,341,1447,140,53,27,51,52,1051,46,107,39,107,11,61,51,11,471,1025,11966,10918,2307,13747,47374,6808,1012,5371,713,126,0,263,93,2,1499,751,151,1131,14,0,1101,0,6065,103705,4212,565,804,376,614,22978,1646,6110,880,5310,736,478,905,224,62799,137469,223,269,15,252,10011,142,108,107,19,5,0,6,67,1,54,33,19,54,3,0,54,0,341,1447,140,53,27,51,52,1051,46,107,39,107,11,61,51,11,471,1025,bunch
hazelcast-hazelcast,83706,84138,13667,94188,398829,57161,3312,41221,5754,5107,0,422,577,45,15851,4785,2796,11003,1238,0,8544,0,82672,770680,27587,7174,4839,2166,2543,39628,61784,150533,10590,140377,4179,4442,2529,1,377459,422251,437,691,51,627,13758,217,143,189,105,93,0,15,30,6,152,152,151,51,33,0,152,0,2409,6620,210,105,47,32,92,1245,5703,2464,131,2464,7,395,49,1,983,1025,83706,84138,13667,94188,398829,57161,3312,41221,5754,5107,0,422,577,45,15851,4785,2796,11003,1238,0,8544,0,82672,770680,27587,7174,4839,2166,2543,39628,61784,150533,10590,140377,4179,4442,2529,1,377459,422251,437,691,51,627,13758,217,143,189,105,93,0,15,30,6,152,152,151,51,33,0,152,0,2409,6620,210,105,47,32,92,1245,5703,2464,131,2464,7,395,49,1,983,1025,agglomerative
iSoron-uhabits,2943,3227,525,4448,5179,1946,113,1407,274,179,6,56,11,10,1200,201,115,898,113,0,331,0,688,23347,833,181,366,37,240,849,2292,3588,843,3018,144,28,71,53,14929,28023,35,163,4,90,243,32,23,30,16,7,5,11,7,5,62,26,12,41,41,0,22,0,46,764,35,10,50,4,34,31,135,170,60,124,4,5,5,5,362,1025,2943,3227,525,4448,5179,1946,113,1407,274,179,6,56,11,10,1200,201,115,898,113,0,331,0,688,23347,833,181,366,37,240,849,2292,3588,843,3018,144,28,71,53,14929,28023,35,163,4,90,243,32,23,30,16,7,5,11,7,5,62,26,12,41,41,0,22,0,46,764,35,10,50,4,34,31,135,170,60,124,4,5,5,5,362,1025,bunch
immutables-immutables,3534,4127,858,5275,38343,2859,327,1571,294,49,42,461,35,0,588,169,117,300,21,0,432,0,2088,35871,1350,185,174,67,93,2523,1266,1928,148,1759,-81,140,532,8,17854,138063,54,374,17,315,14446,184,27,143,32,11,2,122,6,0,51,14,24,23,12,0,24,0,112,1489,208,10,38,9,18,269,173,148,18,110,6,19,59,6,559,1025,3534,4127,858,5275,38343,2859,327,1571,294,49,42,461,35,0,588,169,117,300,21,0,432,0,2088,35871,1350,185,174,67,93,2523,1266,1928,148,1759,-81,140,532,8,17854,138063,54,374,17,315,14446,184,27,143,32,11,2,122,6,0,51,14,24,23,12,0,24,0,112,1489,208,10,38,9,18,269,173,148,18,110,6,19,59,6,559,1025,bunch
ionic-team-capacitor,405,712,101,758,2332,389,28,310,43,33,0,0,0,0,139,51,16,112,5,0,70,0,43,4327,260,33,125,42,8,503,67,603,70,539,53,43,11,0,3180,49,51,66,6,86,562,36,9,35,9,14,0,0,0,0,17,11,5,15,3,0,12,0,7,352,37,10,12,8,2,63,18,53,12,49,3,11,5,0,287,1,405,712,101,758,2332,389,28,310,43,33,0,0,0,0,139,51,16,112,5,0,70,0,43,4327,260,33,125,42,8,503,67,603,70,539,53,43,11,0,3180,49,51,66,6,86,562,36,9,35,9,14,0,0,0,0,17,11,5,15,3,0,12,0,7,352,37,10,12,8,2,63,18,53,12,49,3,11,5,0,287,1,bunch
jankotek-mapdb,1464,7613,316,4552,26301,2314,169,1911,101,214,0,45,7,44,511,162,50,67,228,0,289,0,1789,53408,1003,1879,666,1393,1630,3643,9853,12387,2293,6320,239,134,164,0,15562,10570,60,1525,12,171,4560,156,16,154,31,29,0,17,3,38,32,19,18,9,31,0,31,0,117,11297,104,629,86,544,330,604,2304,3989,295,948,12,18,15,0,595,1025,1464,7613,316,4552,26301,2314,169,1911,101,214,0,45,7,44,511,162,50,67,228,0,289,0,1789,53408,1003,1879,666,1393,1630,3643,9853,12387,2293,6320,239,134,164,0,15562,10570,60,1525,12,171,4560,156,16,154,31,29,0,17,3,38,32,19,18,9,31,0,31,0,117,11297,104,629,86,544,330,604,2304,3989,295,948,12,18,15,0,595,1025,bunch
java-native-accessjna,4358,7644,1940,6795,72086,4126,669,2527,214,267,0,12,99,16,10000,2739,2807,367,26,0,2678,0,3246,71854,1414,487,789,491,633,5248,14607,17584,2110,15690,240,266,1097,0,62200,38455,76,416,131,226,11476,152,146,88,24,36,0,3,21,4,4347,1982,1982,42,9,0,1982,0,185,4351,134,33,86,44,95,283,4337,4347,312,4347,7,46,96,0,3519,1025,4358,7644,1940,6795,72086,4126,669,2527,214,267,0,12,99,16,10000,2739,2807,367,26,0,2678,0,3246,71854,1414,487,789,491,633,5248,14607,17584,2110,15690,240,266,1097,0,62200,38455,76,416,131,226,11476,152,146,88,24,36,0,3,21,4,4347,1982,1982,42,9,0,1982,0,185,4351,134,33,86,44,95,283,4337,4347,312,4347,7,46,96,0,3519,1025,bunch
javaparser-javaparser,18266,30457,2821,25235,410848,15407,758,10556,1164,160,462,46,232,0,2301,428,465,1448,54,0,646,0,8274,142192,14041,1650,1910,242,1736,15280,8760,16191,2224,13246,1041,80,108,1523,67481,82369,156,3273,15,696,191586,620,36,151,485,7,34,10,122,0,127,109,108,22,14,0,109,0,1038,8583,1298,127,190,45,476,530,2964,1572,445,570,15,7,15,213,861,1025,18266,30457,2821,25235,410848,15407,758,10556,1164,160,462,46,232,0,2301,428,465,1448,54,0,646,0,8274,142192,14041,1650,1910,242,1736,15280,8760,16191,2224,13246,1041,80,108,1523,67481,82369,156,3273,15,696,191586,620,36,151,485,7,34,10,122,0,127,109,108,22,14,0,109,0,1038,8583,1298,127,190,45,476,530,2964,1572,445,570,15,7,15,213,861,1025,bunch
jenkinsci-jenkins,16725,19446,3954,26596,99413,10898,1302,8493,1203,744,45,294,235,210,3054,1129,975,1768,117,0,1546,0,7169,153913,6834,1547,1634,1160,759,21581,6453,17067,2736,14696,1498,630,1386,236,136640,302810,137,368,103,306,11173,150,137,147,30,17,8,13,17,10,39,31,18,30,10,0,34,0,192,2117,203,55,63,35,32,1542,262,226,61,215,10,22,61,26,1006,1025,16725,19446,3954,26596,99413,10898,1302,8493,1203,744,45,294,235,210,3054,1129,975,1768,117,0,1546,0,7169,153913,6834,1547,1634,1160,759,21581,6453,17067,2736,14696,1498,630,1386,236,136640,302810,137,368,103,306,11173,150,137,147,30,17,8,13,17,10,39,31,18,30,10,0,34,0,192,2117,203,55,63,35,32,1542,262,226,61,215,10,22,61,26,1006,1025,bunch
